split_new/AK Ghosh(aero)/101104062/lecture - 32.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 32.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 32.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 32.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=6 | 
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 33.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 34.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 34.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 34.txt | tail_line_position=3 | Prof: A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 34.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 34.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=6 | alright. Thank you
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=5 | 
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=3 | Prof. A. K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 35.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
split_new/AK Ghosh(aero)/101104062/lecture - 36.txt | tail_line_position=4 | Aircraft Stability and Control
split_new/AK Ghosh(aero)/101104062/lecture - 36.txt | tail_line_position=3 | Prof. A.K. Ghosh
split_new/AK Ghosh(aero)/101104062/lecture - 36.txt | tail_line_position=2 | Department of Aerospace Engineering
split_new/AK Ghosh(aero)/101104062/lecture - 36.txt | tail_line_position=1 | Indian Institute of Technology-Kanpur
